,country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
2493,India,Khairagarh,156,Unhealthy,1,Good,44,Good,0,Good,156,Unhealthy
2497,India,Jiran,156,Unhealthy,1,Good,41,Good,0,Good,156,Unhealthy
2500,India,Jobner,192,Unhealthy,1,Good,39,Good,0,Good,192,Unhealthy
2502,India,Jodhpur,500,Hazardous,0,Good,34,Good,0,Good,378,Hazardous
2529,India,Jagatsinghapur,154,Unhealthy,2,Good,90,Moderate,1,Good,154,Unhealthy
2531,India,Tekari,376,Hazardous,1,Good,68,Moderate,1,Good,296,Very Unhealthy
2535,Bangladesh,Thakurgaon,193,Unhealthy,2,Good,73,Moderate,1,Good,193,Unhealthy
2542,Mexico,Tlaxcalancingo,158,Unhealthy,3,Good,2,Good,11,Good,158,Unhealthy
2543,Pakistan,Toba Tek Singh,295,Very Unhealthy,1,Good,55,Moderate,1,Good,295,Very Unhealthy
2550,India,Siddhapur,168,Unhealthy,0,Good,34,Good,0,Good,168,Unhealthy
2551,Indonesia,Sidoarjo,153,Unhealthy,2,Good,58,Moderate,2,Good,153,Unhealthy
2554,India,Simdega,169,Unhealthy,1,Good,86,Moderate,0,Good,169,Unhealthy
2557,India,Sirsa,260,Very Unhealthy,1,Good,47,Good,0,Good,239,Very Unhealthy
2564,India,Sompeta,154,Unhealthy,2,Good,83,Moderate,1,Good,154,Unhealthy
2572,India,Srirampur,176,Unhealthy,3,Good,89,Moderate,3,Good,176,Unhealthy
2582,Pakistan,Sukheke,276,Very Unhealthy,2,Good,140,Unhealthy for Sensitive Groups,1,Good,276,Very Unhealthy
2589,Mexico,Sanctorum,158,Unhealthy,3,Good,4,Good,10,Good,158,Unhealthy
2592,China,Sanmenxia,167,Unhealthy,3,Good,167,Unhealthy,1,Good,119,Unhealthy for Sensitive Groups
