city_name,country
Pozzallo,Italy
Sandakan,Malaysia
Ponta Delgada,Portugal
Tammisaari,Finland
Tandag,Philippines
Tual,Indonesia
Taranto,Italy
Izumiotsu,Japan
Albufeira,Portugal
Amahai,Indonesia
Arcachon,France
Omura,Japan
Shingu,Japan
Workington,United Kingdom
Nynashamn,Sweden
Napier,New Zealand
Edgewood,United States
Narvik,Norway
Vila Real De Santo Antonio,Portugal
Vung Tau,Vietnam
Umm Lajj,Saudi Arabia
Mamoudzou,Mayotte
Khalkis,Greece
Kishiwada,Japan
Liepaja,Latvia
Ghogha,India
Bremerton,United States
Carpinteria,United States
Abaetetuba,Brazil
Palompon,Philippines
Paranagua,Brazil
